"error_name","SurveyorID","Submission.Id","Quad","Tag","StemTag","Species","QX","QY","DBH","Status.2020","HOM","Status.2021","DWR","Crown.position","Dead.crown.position","Dead.DBH","Percentage.of.crown.intact","Percentage.of.crown.living","Lean.angle.if.greater.than.15.degrees","Lianas","FAD","Wounded.main.stem","Canker..swelling..deformity","Rotting.trunk","Notes.2021","Crown.thinning","Epicormic.growth","EABF","D.shaped.exit.hole.count","Crown.position...10.cm.DBH"
"unhealthy_but_wrong_status","BC,JJ","f19f0501-a0c2-43b1-b329-7ef4e10031b4","223","22245","1","fram","9.7","13.4","78","PD","1.3","PD","False","1",NA,NA,0,0,NA,NA,"I",NA,NA,NA,NA,"5","0","VB,W,DE",6,"S"
"unhealthy_but_wrong_status","BC","fb7cba12-89a3-4c7e-bafa-c1587821184f","226","22331","1","caca","3.6","0.5","105","A","1.3","PD","False","3",NA,NA,0,0,NA,"0","UP","3",NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","f2d3d710-062b-44aa-b472-de7b3cac74b8","228","22450","1","saal","11.8","10.9","227","DS","1.3","PD","False","2",NA,NA,0,0,NA,"0","DF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","f2d3d710-062b-44aa-b472-de7b3cac74b8","228","22466","1","litu","0.6","14.6","100","DS","1.3","PD","False","1",NA,NA,0,0,NA,"0",NA,"3",NA,"3",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","b2476add-a34f-4a80-a1e6-9fb542cf7b71","229","22503","1","litu","15","12.2","203","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","UP","3",NA,"3",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","ed220a57-a506-40d5-b502-ea2c530a0b83","301","30001","1","fram","1","1.7","503","PD","1.3","PD","False","3",NA,NA,0,0,NA,"0","I","3",NA,NA,NA,"5","0","VB,W,DE",2,NA
"unhealthy_but_wrong_status","BC","079f6a8f-635d-4a3a-85ce-8a215ef2a753","302","30039","1","fram","4.6","2.7","926","PD","1.3","PD","False","3",NA,NA,0,0,NA,NA,"I",NA,NA,NA,NA,"5","0","VB,W,DE",15,NA
"unhealthy_but_wrong_status","BC","079f6a8f-635d-4a3a-85ce-8a215ef2a753","302","30145","1","frni","11.5","16.3","174","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","I","3",NA,NA,NA,"5","0","VB,W",0,NA
"unhealthy_but_wrong_status","BC","e3ef3f97-177c-4277-aa73-cd0150c920d8","303","30151","1","fram","17.4","2.7","716","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","I",NA,NA,NA,NA,"5","0","W,AS",0,NA
"unhealthy_but_wrong_status","BC","062a6e5f-5e91-4807-b9f4-d1ef2b73e4c1","304","30070","1","juni","0.3","3.3","431","AU","1.3","PD","False",NA,NA,NA,0,0,NA,"0","B","3",NA,NA,NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","062a6e5f-5e91-4807-b9f4-d1ef2b73e4c1","304","30072","1","fram","4.2","2.4","140","AU","1.3","PD","False","2",NA,NA,0,0,NA,"0","I","3",NA,NA,NA,"5","0","W,AS,VB",NA,NA
"unhealthy_but_wrong_status","BC","093ea1e7-77a0-4cb9-b273-1a7d26aac27a","307","30343","1","quru","17.9","8","614","PD","1.3","PD","False","4",NA,NA,0,0,NA,"0","W,R",NA,NA,"3",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","093ea1e7-77a0-4cb9-b273-1a7d26aac27a","307","30364","1","fram","8.5","19.4","316","PD","1.3","PD","False",NA,NA,NA,0,0,NA,"0","I",NA,NA,NA,NA,"5","0","VB,W",NA,NA
"unhealthy_but_wrong_status","BC","c68a93a2-70ec-4257-94b8-9298de446322","308","30365","1","fram","19.6","1.8","1001","PD","1.3","PD","False","4",NA,NA,40,0,NA,"0","I",NA,NA,NA,NA,"5","0","VB,W,DE",15,NA
"unhealthy_but_wrong_status","BC","c68a93a2-70ec-4257-94b8-9298de446322","308","30365","2","fram","19.6","1.8","180","PD","1.3","PD","False","1",NA,NA,80,0,NA,"0","I",NA,NA,NA,NA,"5","0","W,DE",3,NA
"unhealthy_but_wrong_status","BC","383cf176-def4-42a1-a4fd-67571bfa51f9","314","30468","1","frni","13.4","0.3","158","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","B,R",NA,NA,NA,NA,"5","0","VB,W",0,NA
"unhealthy_but_wrong_status","BC","cf590ecf-1125-4729-ad34-b5712bc66214","315","30601","1","cagl","12.6","13.3","104","PD","1.3","PD","False","1",NA,NA,20,NA,0,"0","R,B",NA,NA,"3",NA,NA,NA,NA,NA,NA
"unhealthy_but_wrong_status","BC","cf590ecf-1125-4729-ad34-b5712bc66214","315","30603","1","nysy","19.6","16.9","119","PD","1.3","PD","False","1",NA,NA,0,0,NA,"0","B,R,DF","3",NA,"3",NA,NA,NA,NA,NA,NA
