"tag","StemTag","sp","quadrat","gx","gy","dbh","hom","s14","s15","s16","s17","s18main","s18","s19","s20","status.2021","dendroband","above_50cm_dbh","oak","small_non_oak_no_dendro_random","cored_dead"
12314,1,"fram","0126",16.9,510.1,124,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
12350,1,"fram","0128",8.6,540.9,123,"1.3","A","A","A","AU","A","A","A","AU","DS",0,0,0,0,0
22056,1,"tiam","0218",35.6,345.8,378,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
22270,1,"caca","0224",33.6,468.2,114,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
22331,1,"caca","0226",23.6,500.5,105,"1.3","A","A","A","A","A","A","A","A","PD",0,0,0,0,0
22333,1,"fram","0226",25.5,502.7,430,"1.4","A","A","A","A","A","A","A","A","DS",1,0,0,0,0
22384,1,"quve","0227",30.8,525,509,"1.3","A","A","A","A","A","A","A","AU","DS",0,1,1,0,0
10731,1,"qupr","0115",8.4,295.9,622,"1.3","A","A","A","A","A","A","A","AU","DS",0,1,1,0,0
12223,1,"caca","0123",3.5,450.4,107,"1.4","A",NA,NA,NA,"A",NA,"A","AU","DC",0,0,0,0,0
12084,1,"cagl","0119",3,375,330,"1.3","A","A","A","A","A","A","AU","A","DS",0,0,0,0,0
12478,1,"fram","0131",8.8,603.9,292,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
60474,1,"fram","0616",101.6,309.6,300,"1.3","A","A","A","A","A","A","A","AU","PD",0,0,0,0,0
151181,1,"ceca","1515",291.3,291.8,154,"1.3","A","A","A","AU","D","A","A","AU","DC",0,0,0,1,0
151621,1,"fram","1516",296.7,307.7,490,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
152044,2,"qupr","1518",284.6,344.5,352,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,1,0,0
152611,1,"ceca","1528",289.9,547.3,161,"1.3","A","A","A","A","A","A","A","AU","DC",0,0,0,1,0
160248,1,"aial","1601",319.8,9.8,152,"1.3","A","A","A","A","A","A","A","A","DC",0,0,0,0,0
121421,1,"quru","1213",231.7,255.1,495,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,1,0,0
112496,1,"litu","1132",210.4,621.6,129,"1.3","A","A","A","A","A","A","A","A","PD",0,0,0,0,0
132465,1,"quve","1331",243.8,615.2,715,"1.3","A","A","A","A","A","A","A","A","DS",0,1,1,0,0
132536,1,"quve","1331",251.7,604.6,548,"1.3","A","A","A","A","A","A","A","AU","DS",0,1,1,0,0
92348,1,"caovl","0924",165.8,464.5,483,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
92487,1,"quve","0928",169.8,555,683,"1.3","A","A","A","A","A","A","A","A","DS",1,1,1,0,0
102313,1,"quve","1024",199.5,461.8,733,"1.3","A","A","A","A","A","A","A","AU","DS",0,1,1,0,0
101312,1,"fram","1016",181.2,312.9,381,"1.3","A","A","A","A","A","AU","AU","AU","DS",1,0,0,0,0
